"ensembl_gene_id","external_gene_name","description","Given_id","log2FoldChange","AveExpr","t","P.Value","padj","B"
"ENSG00000115361","ACADL","acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]",33,-0.349187798,1.168361928,-1.263801927,0.214607302,0.333263685,-6.836373155
"ENSG00000117054","ACADM","acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]",34,-0.354238194,0.945847631,-2.330470063,0.025636507,0.066552,-5.046939247
"ENSG00000122971","ACADS","acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]",35,-0.218154464,0.302984886,-1.954215044,0.05865707,0.124972456,-5.777845615
"ENSG00000196177","ACADSB","acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]",36,-0.238876389,0.868800245,-0.813305757,0.421510448,0.547774668,-7.301502585
"ENSG00000072778","ACADVL","acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]",37,-0.351527183,1.254303513,-2.836741317,0.007510426,0.025639268,-3.920627745
"ENSG00000075239","ACAT1","acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]",38,-0.234340774,0.973308824,-1.560286372,0.127639433,0.225878235,-6.430114777
"ENSG00000120437","ACAT2","acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]",39,-0.216011706,-0.008040441,-1.61807363,0.114574462,0.20831898,-6.342210794
"ENSG00000108684","ASIC2","acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]",40,-0.144884028,0.913864788,-0.97787251,0.334810878,0.462817541,-7.153680168
"ENSG00000110881","ASIC1","acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]",41,-0.260468651,0.549048203,-1.468806801,0.150766505,0.256363805,-6.563552337
"ENSG00000087085","ACHE","acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]",43,-0.213888492,-0.57102451,-1.758994311,0.08727007,0.169420635,-6.116421463
"ENSG00000131473","ACLY","ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]",47,-0.254226488,-0.133168301,-1.747108807,0.089339771,0.17251148,-6.136079886
"ENSG00000122729","ACO1","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]",48,-0.329375595,0.132727533,-1.435893961,0.159860849,0.267625792,-6.609819775
"ENSG00000100312","ACR","acrosin [Source:HGNC Symbol;Acc:HGNC:126]",49,-0.308815377,0.751033088,-2.102935458,0.042690025,0.098230384,-5.50080012
"ENSG00000291368","ACR","acrosin [Source:HGNC Symbol;Acc:HGNC:126]",49,-0.308815377,0.751033088,-2.102935458,0.042690025,0.098230384,-5.50080012
"ENSG00000100412","ACO2","aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]",50,-0.424093651,0.880853758,-2.943584624,0.005712045,0.020770365,-3.664703884
"ENSG00000161533","ACOX1","acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]",51,-0.173942262,0.400303105,-1.219930237,0.230602402,0.351067819,-6.889923641
"ENSG00000143727","ACP1","acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]",52,-0.200145139,0.586406046,-1.077039748,0.288789201,0.41507118,-7.052191775
"ENSG00000134575","ACP2","acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]",53,-0.212225694,0.071165033,-1.656505286,0.106508769,0.19693865,-6.282226829
"ENSG00000102575","ACP5","acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]",54,-0.480121131,0.61826348,-1.781592853,0.083446078,0.163579438,-6.078736278
"ENSG00000014257","ACP3","acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]",55,-0.287008631,1.075792892,-1.22665287,0.228095577,0.348321362,-6.881830413
"ENSG00000134940","ACRV1","acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127]",56,0.702857937,1.591944036,1.531655975,0.134546779,0.23509273,-6.472635917
"ENSG00000143632","ACTA1","actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]",58,-0.608358234,-1.928158088,-2.715866771,0.010177322,0.032431082,-4.202944086
"ENSG00000107796","ACTA2","actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]",59,-0.298660714,1.059779003,-2.764921156,0.009003423,0.029551972,-4.089321705
"ENSG00000075624","ACTB","actin beta [Source:HGNC Symbol;Acc:HGNC:132]",60,-0.82290129,0.54596732,-4.497276862,7.18e-05,0.000618749,0.55585898
"ENSG00000159251","ACTC1","actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]",70,-0.536010615,0.862880719,-3.2475631,0.002559352,0.011131616,-2.906544995
"ENSG00000291420","ACTG1","actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]",71,-0.345504365,0.88549183,-2.429015919,0.020382684,0.055845698,-4.839747387
"ENSG00000184009","ACTG1","actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]",71,-0.345504365,0.88549183,-2.429015919,0.020382684,0.055845698,-4.839747387
"ENSG00000163017","ACTG2","actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]",72,-0.870736012,0.915029003,-3.205753698,0.002863819,0.012142386,-3.013296422
"ENSG00000282844","ACTN4","actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]",81,0.302108829,2.538042892,0.784185903,0.438176823,0.563132391,-7.324942319
"ENSG00000130402","ACTN4","actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]",81,0.302108829,2.538042892,0.784185903,0.438176823,0.563132391,-7.324942319
"ENSG00000136518","ACTL6A","actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]",86,-0.643844246,2.129998775,-1.254114966,0.218065349,0.337094869,-6.848346132
"ENSG00000072110","ACTN1","actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]",87,0.3958,2.502454248,0.705203156,0.485324726,0.605796527,-7.384352892
"ENSG00000077522","ACTN2","actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]",88,0.791872917,2.07715768,1.790329552,0.082006116,0.161526279,-6.064059421
"ENSG00000248746","ACTN3","actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]",89,-0.319612897,0.363015523,-2.811792417,0.008000674,0.026970954,-3.979539271
"ENSG00000115170","ACVR1","activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]",90,-0.344269246,0.270215686,-2.387198586,0.022479535,0.060167517,-4.928423969
"ENSG00000135503","ACVR1B","activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]",91,-0.395613194,0.674158088,-1.664237905,0.104943971,0.194899213,-6.270012145
"ENSG00000121989","ACVR2A","activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]",92,-1.177167063,1.889341095,-3.398688518,0.001696597,0.008031302,-2.514618646
"ENSG00000114739","ACVR2B","activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]",93,-1.072616667,-1.705583742,-6.565378055,1.36e-07,2.54e-06,6.783663567
"ENSG00000139567","ACVRL1","activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]",94,-0.337357044,0.782891748,-1.192129693,0.241185979,0.36331323,-6.922957518
"ENSG00000243989","ACY1","aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]",95,-0.213243155,0.094737745,-0.965275303,0.340992555,0.469217029,-7.165909601
"ENSG00000119640","ACYP1","acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]",97,-0.135638095,0.777069853,-0.790026875,0.434802462,0.560231557,-7.320306782
"ENSG00000170634","ACYP2","acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180]",98,-0.251035218,0.778184641,-1.799176443,0.080569466,0.159381487,-6.049136558
"ENSG00000196839","ADA","adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]",100,-0.086288988,0.874586601,-0.41338624,0.681831467,0.771704313,-7.550242324
"ENSG00000151651","ADAM8","ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]",101,-0.282744742,-0.550645833,-1.526599664,0.135797431,0.236698688,-6.480073917
"ENSG00000137845","ADAM10","ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]",102,-0.256509028,0.974012663,-1.62625011,0.112817687,0.20582721,-6.329550263
"ENSG00000160710","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]",103,-0.717161806,1.544193219,-2.477774562,0.018163398,0.051034718,-4.734971249
"ENSG00000197381","ADARB1","adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]",104,-0.437546726,1.183759395,-1.730633357,0.092276802,0.176632911,-6.16314466
"ENSG00000185736","ADARB2","adenosine deaminase RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]",105,-0.525089782,0.822665033,-4.459360681,8.03e-05,0.000681129,0.445014823
"ENSG00000164742","ADCY1","adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]",107,-0.773344147,1.275957925,-1.625383452,0.11300284,0.206103254,-6.330894805
"ENSG00000078295","ADCY2","adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]",108,-0.510347619,0.004976307,-4.487650319,7.39e-05,0.00063406,0.527692686
"ENSG00000138031","ADCY3","adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]",109,-0.487518254,-0.702408088,-3.004881863,0.004871851,0.018320051,-3.515297597
"ENSG00000173175","ADCY5","adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]",111,-0.294232738,-0.45335049,-2.013455941,0.051762397,0.113727855,-5.669414586
"ENSG00000174233","ADCY6","adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]",112,-0.63943373,-0.886694853,-2.763244752,0.009041369,0.029640001,-4.093226335
"ENSG00000121281","ADCY7","adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]",113,-0.249506448,0.369175245,-2.398572938,0.021890627,0.058946622,-4.904413216
"ENSG00000155897","ADCY8","adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]",114,-0.597562599,0.369710784,-1.926836437,0.06210361,0.130469923,-5.827078892
"ENSG00000162104","ADCY9","adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]",115,-0.361896825,0.250372549,-1.464792185,0.151853297,0.257646483,-6.569245642
"ENSG00000141433","ADCYAP1","adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]",116,-0.399074107,0.216502451,-1.448071885,0.156446681,0.263405883,-6.592808971
"ENSG00000078549","ADCYAP1R1","ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]",117,-0.424938294,0.50198652,-2.872913382,0.006849323,0.023896663,-3.834637769
"ENSG00000087274","ADD1","adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]",118,-0.405250794,0.616294526,-2.174072359,0.036508885,0.087198454,-5.36270087
"ENSG00000075340","ADD2","adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]",119,-0.329489881,1.099302696,-2.608549645,0.013256991,0.039810201,-4.446834329
"ENSG00000148700","ADD3","adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]",120,-0.239052282,-0.553071487,-1.238317809,0.223793945,0.34358654,-6.867690438
"ENSG00000147872","PLIN2","perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]",123,-0.439028968,0.723345588,-2.917172492,0.006114564,0.021894084,-3.728508741
"ENSG00000187758","ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]",124,-0.39336746,-1.611876225,-1.190907393,0.241659364,0.363820597,-6.924393809
"ENSG00000196616","ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]",125,-0.567506944,0.370404003,-3.472870397,0.001382901,0.006836981,-2.318933799
"ENSG00000248144","ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]",126,-0.324294147,0.210894199,-1.920663048,0.062904462,0.131782157,-5.83810258
"ENSG00000198099","ADH4","alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]",127,-0.319592857,0.181776552,-2.762922145,0.009048688,0.029658681,-4.093977567
"ENSG00000197894","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]",128,-0.634506647,-0.624711193,-3.980260663,0.000328247,0.002151833,-0.930101974
"ENSG00000172955","ADH6","alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]",130,-0.112495437,1.099325572,-0.637972498,0.527620569,0.642624847,-7.430092347
"ENSG00000196344","ADH7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]",131,-0.253192063,0.617201389,-1.196093491,0.239655523,0.361608447,-6.918290423
"ENSG00000156110","ADK","adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]",132,-0.351302679,1.146417484,-2.360681703,0.023908587,0.063061856,-4.98407973
"ENSG00000148926","ADM","adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]",133,-0.296072817,-0.82107067,-1.81712507,0.077720211,0.154975031,-6.01867337
"ENSG00000163485","ADORA1","adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]",134,-0.474675496,0.103112745,-3.130133965,0.003503994,0.014193125,-3.204437041
"ENSG00000128271","ADORA2A","adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]",135,-0.354975,-0.425218954,-2.027268096,0.050260385,0.111253564,-5.643763799
"ENSG00000170425","ADORA2B","adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]",136,-0.514432242,2.426599265,-2.150274229,0.038482096,0.090842981,-5.409293484
"ENSG00000282608","ADORA3","adenosine A3 receptor [Source:HGNC Symbol;Acc:HGNC:268]",140,-0.476556448,-0.930286765,-1.74728933,0.08930803,0.172473629,-6.13578214
"ENSG00000144843","ADPRH","ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]",141,-0.312128075,0.046228758,-2.575611884,0.014362207,0.042385564,-4.520363231
"ENSG00000143799","PARP1","poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]",142,-0.786345238,0.200960784,-3.193695669,0.002957845,0.012456692,-3.04394388
"ENSG00000102699","PARP4","poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]",143,-0.254900198,0.780368873,-1.244051736,0.221701778,0.341321122,-6.860694947
"ENSG00000171873","ADRA1D","adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]",146,-0.54921994,2.037774918,-1.413357646,0.166333764,0.275385913,-6.640962436
"ENSG00000170214","ADRA1B","adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]",147,-0.298862202,1.621489788,-0.787746871,0.436117767,0.561434119,-7.322120199
"ENSG00000120907","ADRA1A","adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]",148,-1.120416667,1.231645016,-2.430557189,0.020308913,0.055690113,-4.836458001
"ENSG00000150594","ADRA2A","adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]",150,-0.965013393,2.430832516,-3.26617792,0.002433957,0.010701977,-2.858776481
"ENSG00000274286","ADRA2B","adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]",151,-0.120256052,1.794984886,-0.319261651,0.751415239,0.825415025,-7.585484411
"ENSG00000184160","ADRA2C","adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]",152,-0.567043452,2.205292075,-1.59730722,0.119137342,0.214484611,-6.374118272
"ENSG00000043591","ADRB1","adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]",153,-0.319251091,0.677379085,-2.322159131,0.026131205,0.067536775,-5.064127475
"ENSG00000169252","ADRB2","adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]",154,-0.357837897,0.45833415,-1.911778757,0.064072608,0.133690563,-5.85391676
"ENSG00000188778","ADRB3","adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]",155,-0.38588373,1.286345588,-3.220558528,0.002752261,0.011768356,-2.975581281
"ENSG00000173020","GRK2","G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]",156,-0.319710813,0.249913399,-1.972370323,0.056464028,0.121471899,-5.744890336
"ENSG00000100077","GRK3","G protein-coupled receptor kinase 3 [Source:HGNC Symbol;Acc:HGNC:290]",157,-0.418620734,0.522717729,-4.140357383,0.000206,0.001474234,-0.476383354
"ENSG00000239900","ADSL","adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]",158,-0.217282937,0.345333333,-2.062632761,0.046587069,0.105070493,-5.577457726
"ENSG00000035687","ADSS2","adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]",159,-0.369582837,0.723030637,-2.842004553,0.007410655,0.02538142,-3.908158004
"ENSG00000196961","AP2A1","adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]",160,-0.405162798,0.136364788,-2.563634886,0.014784674,0.04337109,-4.546942361
"ENSG00000183020","AP2A2","adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]",161,-0.220179365,-0.12126348,-0.764722233,0.449533882,0.573800862,-7.340149234
"ENSG00000280759","AP2A2","adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]",161,-0.220179365,-0.12126348,-0.764722233,0.449533882,0.573800862,-7.340149234
"ENSG00000281385","AP2A2","adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]",161,-0.220179365,-0.12126348,-0.764722233,0.449533882,0.573800862,-7.340149234
"ENSG00000100280","AP1B1","adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]",162,-0.55356379,0.221005719,-4.670055678,4.28e-05,0.000401221,1.063998318
"ENSG00000006125","AP2B1","adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]",163,-0.505301984,1.11444281,-2.582982919,0.014107755,0.041779265,-4.503963571
"ENSG00000166747","AP1G1","adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]",164,-0.428609226,-0.077727124,-3.42508431,0.001577862,0.007585696,-2.445229793
"ENSG00000106624","AEBP1","AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]",165,-0.294246925,1.072629085,-2.051262029,0.047741596,0.106989368,-5.598875361
"ENSG00000104964","TLE5","TLE family member 5, transcriptional modulator [Source:HGNC Symbol;Acc:HGNC:307]",166,-1.665110913,-3.559839461,-12.48221496,1.74e-14,8.49e-13,22.79187315
"ENSG00000124812","CRISP1","cysteine rich secretory protein 1 [Source:HGNC Symbol;Acc:HGNC:304]",167,-0.326428075,-0.480109477,-2.602112077,0.013466638,0.040306297,-4.461255066
"ENSG00000293510","AFG3L1P","AFG3 like matrix AAA peptidase subunit 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:314]",172,-0.276979266,0.588062908,-2.429228275,0.020372505,0.055826266,-4.839294264
"ENSG00000079557","AFM","afamin [Source:HGNC Symbol;Acc:HGNC:316]",173,-0.960621925,-2.119580065,-4.854507999,2.46e-05,0.000248586,1.611291289
"ENSG00000081051","AFP","alpha fetoprotein [Source:HGNC Symbol;Acc:HGNC:317]",174,-0.296033433,0.18142402,-1.841250789,0.074025583,0.149262805,-5.977332249
"ENSG00000038002","AGA","aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]",175,-0.509157937,-0.627607435,-3.027619138,0.004590943,0.017478386,-3.459414209
"ENSG00000157766","ACAN","aggrecan [Source:HGNC Symbol;Acc:HGNC:319]",176,-0.243375,0.344425654,-2.192206796,0.035066165,0.084688096,-5.326934396
"ENSG00000234729","AGER","advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]",177,-0.611241766,0.396764297,-2.225777338,0.032528799,0.080001587,-5.260129867
"ENSG00000237405","AGER","advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]",177,-0.611241766,0.396764297,-2.225777338,0.032528799,0.080001587,-5.260129867
"ENSG00000206320","AGER","advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]",177,-0.611241766,0.396764297,-2.225777338,0.032528799,0.080001587,-5.260129867
